	transitivity	authority	pagerank	eigenvector_centrality	closeness	betweenness
LivMet_73	0.012108300350084115	0.001126495483050705	0.00011613053071652535	0.0011264954830519482	0.00011616149394685811	5.7673905469747995
LivMet_8	0.009940093959358407	0.0011154518515173605	0.00014594279042615292	0.0011154518515170502	0.0001459754782761945	2.866316403969644
LivMet_41	0.0488486189835366	0.001250321990077837	2.869522798358633e-05	0.0012503219900739633	2.924151922416918e-05	3559.081896180666
LivMet_31	0.031958316878245914	0.002047093570493056	5.5884654073991294e-05	0.0020470935704932102	5.611693568063196e-05	202.46043366491563
LivMet_92	0.01781132701343159	0.0015892562740639031	0.00010848340203948795	0.0015892562740617208	0.000108545122843658	16.526252983293553
LivMet_87	0.017293651394016243	0.0011891118786058028	9.892175289346129e-05	0.0011891118786053663	9.896637321116372e-05	11.837867247007614
LivMet_1	0.01834035534504643	0.0013448190986899958	9.981036031540073e-05	0.001344819098690199	9.99688269658799e-05	48.212097015670224
LivMet_54	0.015918808723813935	0.0013494732900128004	0.00011586142973004286	0.001349473290012933	0.00011590221464406981	6.81149345382922
LivMet_24	0.036364353023785406	0.001452544035652028	5.477651183172656e-05	0.001452544035653185	5.506895351129458e-05	298.2868645924627
LivMet_38	0.021313520913211315	0.001090847738041679	7.017543859649121e-05	0.0010908477380418443	7.023323089786634e-05	32.77424561403509
LivMet_48	0.004508719693747341	0.0021486066532246024	0.0004253509145044662	0.00214860665322491	0.0004253761874603262	0.03572947681837516
LivMet_16	0.012209175907806047	0.0013366496763675467	0.00020755500207555007	0.00133664967636785	0.00020759051476906546	1.4103362391033625
LivMet_66	0.0616951644152722	0.001099949727227937	1.76563024171478e-05	0.0010999497272301377	1.8281909235529278e-05	8553.389974751472
LivMet_21	0.032255728217527146	0.0008138337759013537	4.951720722951226e-05	0.0008138337759011818	4.96558453595323e-05	283.122951225551
LivMet_51	0.025213131586471642	0.0010525261084461468	5.988382537876518e-05	0.0010525261084458155	6.000299253848927e-05	149.59171207856755
LivMet_4	0.055779899626494364	0.0020549071158364636	3.433476394849785e-05	0.0020549071158346053	3.512126482539825e-05	2163.5137167381963
LivMet_82	0.031175932944208135	0.0007281855531575519	4.15679428025107e-05	0.0007281855531583104	4.172584599444766e-05	426.29305399675786
LivMet_63	0.006604747162022704	0.002459652823806599	0.0003439972480220158	0.002459652823806865	0.00034403276488286085	0.17956656346749225
LivMet_13	0.040795524146560194	0.0011772359931530925	3.110129692408172e-05	0.0011772359931525192	3.136218424863952e-05	1050.6717258109657
LivMet_58	0.013685200873650723	0.0014165818908085258	0.00010131712259371833	0.0014165818908080498	0.00010139146604764562	24.732725430597768
LivMet_28	0.018513110866492717	0.0013761186000225759	0.00010702054794520547	0.0013761186000225193	0.00010705959952408178	7.081763698630137
LivMet_76	0.04755711960734592	0.0012470166969852804	2.7309719529180435e-05	0.0012470166969848022	2.753238585558124e-05	1076.4727585547685
LivMet_34	0.033464814353819004	0.0012112661895066618	5.133206714234382e-05	0.001211266189506656	5.144491107003286e-05	132.81694984857043
LivMet_44	0.036718892974278404	0.0018896634260112052	5.695085141522866e-05	0.0018896634260088295	5.717673196296104e-05	223.79173073637452
LivMet_37	0.012469245923074383	0.0009281619820465864	0.00010954102311315585	0.0009281619820473108	0.00010955975374795225	3.0205937123452733
LivMet_47	0.030940983442151362	0.0010829672268438107	4.668534080298785e-05	0.001082967226843871	4.6982850938003077e-05	980.3440709617182
LivMet_19	0.03764870113510217	0.0016581205352955083	3.5491198182850654e-05	0.0016581205352967701	3.5698867623480035e-05	623.6324176604201
LivMet_69	0.017102167830141943	0.0009319909064321536	8.296001327360211e-05	0.0009319909064321256	8.297616042079512e-05	4.5437199269951885
LivMet_75	0.017374983299501354	0.000868895999924569	9.050592813829306e-05	0.0008688959999246899	9.053441790788669e-05	7.09331161191058
LivMet_88	0.018441971074922067	0.0008130347398049175	7.448234768359899e-05	0.0008130347398039675	7.452203506462955e-05	17.45925815581707
LivMet_60	0.0030597552195824333	0.0015356621882637181	0.0003599712023038157	0.001535662188263799	0.0003599885703772298	0.033837293016558675
LivMet_10	0.04289905832015945	0.00101336041947155	2.7006589607864314e-05	0.0010133604194725683	2.735821513061845e-05	3010.804823376897
LivMet_81	0.020261971042582823	0.0012409937699315527	9.076881183625309e-05	0.0012409937699316969	9.079533133054702e-05	6.513025324498503
LivMet_7	0.021371132131800037	0.0013948205260700913	0.0001030715316429602	0.00139482052607032	0.00010318766229749762	29.429911358482794
LivMet_22	0.033314670540403414	0.0008369574170676877	3.4852920674752545e-05	0.0008369574170671611	3.5102160781612074e-05	1065.9361494493232
LivMet_52	0.007252969421278746	0.00404960984183003	0.0007581501137225169	0.0040496098418300675	0.000758213086841731	0.029567854435178165
LivMet_15	0.014428032700284008	0.0009309775191674287	9.519276534983343e-05	0.0009309775191673178	9.528250081006593e-05	31.150785340314137
