Sample Name	Kit UID	Run ID	Well Location	Date Posted	Gene Rearrangements	Coverage	% On-target	QC Status
LivMet_47	12511620	12511620_1	A1,A2	05/05/2020	77668	11.1	51.77672	FAIL_LOW_COVERAGE	
LivMet_48	12511620	12511620_1	B1,B2	05/05/2020	4799	24.2	10.062153	PASS	
LivMet_49	12511620	12511620_1	C1,C2	05/05/2020	70896	6.1	51.464516	FAIL_LOW_COVERAGE	
LivMet_50	12511620	12511620_1	D1,D2	05/05/2020	129169	4.0	58.93788	FAIL_LOW_COVERAGE	
LivMet_51	12511620	12511620_1	E1,E2	05/05/2020	60541	9.4	47.918870000000005	FAIL_LOW_COVERAGE	
LivMet_52	12511620	12511620_1	F1,F2	05/05/2020	15895	22.9	28.805905999999997	PASS	
LivMet_53	12511620	12511620_1	G1,G2	05/05/2020	175416	3.6	59.890145	FAIL_LOW_COVERAGE	
LivMet_54	12511620	12511620_1	H1,H2	05/05/2020	62058	3.7	49.64238	FAIL_LOW_COVERAGE	
LivMet_55	12511620	12511620_1	A3,A4	05/05/2020	15858	23.6	23.124306	PASS	
LivMet_56	12511620	12511620_1	B3,B4	05/05/2020	106221	11.2	56.8821	FAIL_LOW_COVERAGE	
LivMet_57	12511620	12511620_1	C3,C4	05/05/2020	42383	18.6	41.93747	PASS	
LivMet_58	12511620	12511620_1	D3,D4	05/05/2020	40918	13.8	44.393066	PASS	
LivMet_59	12511620	12511620_1	E3,E4	05/05/2020	76028	16.7	52.857220000000005	PASS	
LivMet_60	12511620	12511620_1	F3,F4	05/05/2020	7377	37.0	15.764800000000001	PASS	
LivMet_61	12511620	12511620_1	G3,G4	05/05/2020	47399	13.6	47.398430000000005	PASS	
LivMet_62	12511620	12511620_1	H3,H4	05/05/2020	37348	15.3	40.36511	PASS	
LivMet_63	12511620	12511620_1	A5,A6	05/05/2020	10820	39.6	22.001837	PASS	
LivMet_64	12511620	12511620_1	B5,B6	05/05/2020	22262	25.6	33.942035	PASS	
LivMet_65	12511620	12511620_1	C5,C6	05/05/2020	326357	4.4	66.46853	FAIL_LOW_COVERAGE	
LivMet_66	12511620	12511620_1	D5,D6	05/05/2020	336661	4.2	66.985214	FAIL_LOW_COVERAGE	
LivMet_67	12511620	12511620_1	E5,E6	05/05/2020	178183	6.7	62.128150000000005	FAIL_LOW_COVERAGE	
LivMet_68	12511620	12511620_1	F5,F6	05/05/2020	82191	15.8	57.779974	PASS	
LivMet_69	12511620	12511620_1	G5,G6	05/05/2020	30339	20.2	40.58882	PASS	
LivMet_70	12511620	12511620_1	H5,H6	05/05/2020	74447	10.2	55.996	FAIL_LOW_COVERAGE	
LivMet_71	12511620	12511620_1	A7,A8	05/05/2020	32076	20.4	35.173398	PASS	
LivMet_72	12511620	12511620_1	B7,B8	05/05/2020	26276	29.8	36.12172	PASS	
LivMet_73	12511620	12511620_1	C7,C8	05/05/2020	64359	19.8	46.772087	PASS	
LivMet_74	12511620	12511620_1	D7,D8	05/05/2020	225635	6.5	63.35646499999999	FAIL_LOW_COVERAGE	
LivMet_75	12511620	12511620_1	E7,E8	05/05/2020	32073	25.3	36.145275999999996	PASS	
LivMet_76	12511620	12511620_1	F7,F8	05/05/2020	348296	4.3	70.646286	FAIL_LOW_COVERAGE	
LivMet_77	12511620	12511620_1	G7,G8	05/05/2020	141287	11.1	64.21232	PASS	
LivMet_78	12511620	12511620_1	H7,H8	05/05/2020	175755	5.0	64.4752	FAIL_LOW_COVERAGE	
LivMet_79	12511620	12511620_1	A10,A9	05/05/2020	7862	40.3	17.27081	PASS	
LivMet_80	12511620	12511620_1	B10,B9	05/05/2020	163401	7.7	58.057950000000005	FAIL_LOW_COVERAGE	
LivMet_81	12511620	12511620_1	C10,C9	05/05/2020	36964	24.0	43.644909999999996	PASS	
LivMet_82	12511620	12511620_1	D10,D9	05/05/2020	117383	8.8	59.509367000000005	FAIL_LOW_COVERAGE	
LivMet_83	12511620	12511620_1	E10,E9	05/05/2020	173147	7.0	62.26619	FAIL_LOW_COVERAGE	
LivMet_84	12511620	12511620_1	F10,F9	05/05/2020	12170	26.0	25.14967	PASS	
LivMet_85	12511620	12511620_1	G10,G9	05/05/2020	157616	7.2	64.23588	FAIL_LOW_COVERAGE	
LivMet_86	12511620	12511620_1	H10,H9	05/05/2020	31848	15.0	40.473217	PASS	
LivMet_87	12511620	12511620_1	A11,A12	05/05/2020	28687	37.2	39.935583	PASS	
LivMet_88	12511620	12511620_1	B11,B12	05/05/2020	70486	16.2	56.42999	PASS	
LivMet_89	12511620	12511620_1	C11,C12	05/05/2020	100614	14.0	59.052150000000005	PASS	
LivMet_90	12511620	12511620_1	D11,D12	05/05/2020	85812	12.6	56.805915	PASS	
LivMet_91	12511620	12511620_1	E11,E12	05/05/2020	113012	9.8	60.909414	FAIL_LOW_COVERAGE	
LivMet_92	12511620	12511620_1	F11,F12	05/05/2020	29656	29.6	41.534802	PASS	
LivMet_93	12511620	12511620_1	G11,G12	05/05/2020	100888	11.4	59.942119999999996	PASS	
Negative	12511620	12511620_1	H12	05/05/2020	27	43.6	0.10532198000000001	PASS	
Positive	12511620	12511620_1	H11	05/05/2020	73	4.8	0.077481626	WARNING_LOW_SAMPLE_INPUT,FAIL_LOW_COVERAGE	
